city_code,zip_code,latitude,longitude
aigne,34210,43.326033683,2.79277504
aignes,31550,43.33457269,1.586507415
aigneville,80210,50.036764149,1.610001001
aigny,51150,49.043266059,4.220972471
aigondigne,79370,46.285815698,-0.270229662
aigre,16140,45.902268933,0.023732964
aigrefeuille,31280,43.56919333,1.585167634
aigrefeuille d aunis,17290,46.116852349,-0.944445288
aigrefeuille sur maine,44140,47.071508947,-1.415430336
aigremont,78240,48.900911659,2.016319442
aigremont,52400,48.013197216,5.725028352
aigremont,89800,47.718143282,3.890698221
aigremont,30350,43.961557267,4.118160231
aiguebelette le lac,73610,45.547345122,5.813970717
aiguefonde,81200,43.492714535,2.323329777
aigueperse,63260,46.014329612,3.202063687
aigueperse,69790,46.280145406,4.424088341
aigues juntes,9240,43.050400025,1.471458393
aigues mortes,30220,43.550541316,4.184188614
aigues vives,9600,43.000605933,1.877001309
aigues vives,34210,43.347888309,2.825312751
aigues vives,30670,43.734369424,4.191106098
aigues vives,11800,43.235138628,2.532834201
aigueze,30760,44.316552202,4.517078336
aiguilhe,43000,45.052897229,3.88529152
aiguilles,5470,44.779667302,6.875268309
aiguillon,47190,44.301158324,0.357814808
aiguines,83630,43.72853546,6.304429485
aigurande,36140,46.455768476,1.840010436
ailhon,7200,44.597864208,4.332925449
aillant sur milleron,45230,47.795027328,2.937116217
aillas,33124,44.483361356,-0.066640972
ailleux,42130,45.799373838,3.933889889
aillevans,70110,47.590407865,6.417477417
ailleville,10200,48.254630088,4.694386507
aillevillers et lyaumont,70320,47.938189827,6.333098391
aillianville,52700,48.333532745,5.483120767
aillieres beauvoir,72600,48.400472487,0.320480234
aillon le jeune,73340,45.60880694,6.087894098
aillon le vieux,73340,45.650444716,6.087489525
ailloncourt,70300,47.756772764,6.387651806
ailly,27600,49.158098248,1.244404254
ailly le haut clocher,80690,50.081462066,1.995567382
ailly sur noye,80250,49.746594378,2.346565802
ailly sur somme,80470,49.91314894,2.186320431
aimargues,30470,43.671856649,4.203894749
aime la plagne,73210,45.566465331,6.613573271
ainay le chateau,3360,46.715563658,2.720484548
ainay le vieil,18200,46.664061045,2.544480969
aincille,64220,43.134379392,-1.197226885
aincourt,95510,49.072575712,1.77372219
aincreville,55110,49.369615691,5.116082516
aingeray,54460,48.737208698,6.018418018
aingeville,88140,48.205048525,5.768495605
aingoulaincourt,52230,48.456472965,5.27685469
ainharp,64130,43.255001544,-0.935569436
ainhice mongelos,64220,43.214132967,-1.159167926
ainhoa,64250,43.297483814,-1.485227226
ainvelle,70800,47.848140879,6.244383323
ainvelle,88320,47.987800089,5.828149335
airaines,80270,49.97210339,1.944740471
aire,8190,49.470694956,4.163762094
aire sur l adour,40800,43.699142452,-0.264655329
aire sur la lys,62120,50.644306454,2.395506273
airel,50680,49.212252923,-1.079534735
airion,60600,49.422455866,2.418512833
airon notre dame,62180,50.441355001,1.66747819
airon st vaast,62180,50.427562917,1.671388367
airoux,11320,43.366970654,1.874231985
airvault,79600,46.828329637,-0.153347126
aiserey,21110,47.172751002,5.169104193
aisey et richecourt,70500,47.888018257,5.955431583
aisey sur seine,21400,47.747838175,4.579054052
aisonville et bernoville,2110,49.930322863,3.511399522
aissey,25360,47.269953499,6.326897797
aisy sous thil,21390,47.393645537,4.278823557
aisy sur armancon,89390,47.657016195,4.20924168
aiti,20244,42.404034764,9.228973435
aiton,73220,45.573232172,6.256701971
aix,19200,45.613360908,2.392246863
aix en ergny,62650,50.586489042,1.99974374
aix en issart,62170,50.480072954,1.861719837
aix en pevele,59310,50.497966562,3.305339428
aix en provence,13540,43.536112304,5.398630399
aix la fayette,63980,45.50712609,3.528727604
aix les bains,73100,45.696880561,5.903940196
aix noulette,62160,50.421088701,2.712573894
aix villemaur palis,10190,48.22692236,3.745810669
aixe sur vienne,87700,45.798149794,1.131741221
aizac,7530,44.719957976,4.330312142
aizanville,52120,48.112225515,4.894739168
aize,36150,47.10847279,1.707164089
aizecourt le bas,80240,49.986133956,3.028473235
aizecourt le haut,80200,49.966800462,2.982476597
aizelles,2820,49.485003991,3.818515071
aizenay,85190,46.738516931,-1.626759742
aizier,27500,49.43028264,0.6261445330000001
aizy jouy,2370,49.438697879,3.51124666
ajac,11300,43.044692688,2.136515912
ajaccio,20090,41.934723456,8.700937555
ajain,23380,46.211067108,1.996082188
ajat,24210,45.160829244,1.027376129
ajoncourt,57590,48.845103358,6.30413448
ajoux,7000,44.754643506,4.485312969
alaigne,11240,43.097978233,2.092076593
alaincourt,2240,49.76637858,3.367160265
alaincourt,70210,47.946336979,6.099354278
alaincourt la cote,57590,48.896815047,6.340315036
alairac,11290,43.181792176,2.23575246
alan,31420,43.219953502,0.927182617
alando,20212,42.307923468,9.286438857
alata,20167,41.973629147,8.73166165
alba la romaine,7400,44.554270744,4.595462039
alban,81250,43.884627312,2.456410362
albaret le comtal,48310,44.867267846,3.143984914
albaret ste marie,48200,44.886294946,3.251376295
albas,11360,43.005737518,2.726652801
albas,46140,44.461308779,1.24066501
albe,67220,48.361314302,7.33689019
albefeuille lagarde,82290,44.048440837,1.273685621
albepierre bredons,15300,45.07719203,2.819903907
albert,80300,50.003897613,2.648835031
albertacce,20224,42.311736325,8.924113162
albertville,73200,45.668297972,6.404333115
albestroff,57670,48.92994713,6.869756978
albi,81000,43.925846212,2.147453419
albiac,31460,43.555993437,1.7831376570000002
albiac,46500,44.767995466,1.813268379
albias,82350,44.081453454,1.44893286
albieres,11330,42.946401625,2.445888815
albies,9310,42.75449595,1.698141074
albiez le jeune,73300,45.239249084,6.358249278
albiez montrond,73300,45.188708798,6.339642267
albignac,19190,45.147333897,1.67798571
albigny sur saone,69250,45.864099485,4.830633796
albine,81240,43.444223338,2.527445115
albitreccia,20166,41.860660612,8.8777584
albon,26140,45.238965428,4.8623533
albon d ardeche,7190,44.814986241,4.42533053
alboussiere,7440,44.939786813,4.7345559470000005
albussac,19380,45.141223861,1.814019768
